node_id,community_id
1,1
2,2
3,3
4,4
5,5
6,6
7,3
8,7
9,5
10,8
11,8
12,6
13,9
14,10
15,4
16,11
17,6
18,3
19,5
20,5
21,6
22,5
23,5
24,1
25,1
26,12
27,13
28,14
29,4
30,4
31,3
32,5
33,1
34,15
35,8
36,15
37,14
38,15
39,3
40,8
41,3
42,5
43,3
44,3
45,5
46,5
47,1
48,3
49,6
50,14
51,12
52,3
53,9
54,4
55,12
56,12
57,7
58,16
59,12
60,2
61,1
62,10
63,5
64,4
65,5
66,5
67,3
68,10
69,2
70,3
71,1
72,12
73,11
74,8
75,16
76,13
77,5
78,4
79,11
80,17
81,5
82,5
83,7
84,1
85,6
86,5
87,17
88,18
89,1
90,11
91,6
92,14
93,1
94,17
95,1
96,17
97,18
98,4
99,12
100,4
101,1
102,3
103,4
104,4
105,8
106,8
107,1
108,16
109,3
110,4
111,18
112,15
113,8
114,13
115,6
116,15
117,3
118,3
119,3
120,16
121,14
122,2
123,1
124,4
125,1
126,1
127,15
128,3
129,16
130,17
131,6
132,14
133,5
134,14
135,6
136,6
137,5
138,8
139,4
140,6
141,18
142,1
143,4
144,2
145,8
146,14
147,16
148,12
149,5
150,12
151,1
152,4
153,8
154,4
155,4
156,4
157,15
158,1
159,4
160,6
161,6
162,3
163,17
164,18
165,17
166,1
167,3
168,5
169,12
170,1
171,12
172,4
173,14
174,1
175,7
176,9
177,10
178,6
179,16
180,14
181,14
182,8
183,7
184,12
185,8
186,16
187,17
188,2
189,15
190,7
191,6
192,16
193,18
194,16
195,4
196,8
197,15
198,9
199,4
200,4
201,4
202,14
203,1
204,16
205,3
206,1
207,1
208,8
209,11
210,12
211,11
212,8
213,3
214,8
215,17
216,4
217,3
218,4
219,3
220,18
221,1
222,3
223,3
224,4
225,1
226,3
227,3
228,15
229,15
230,12
231,11
232,3
233,4
234,4
235,11
236,3
237,3
238,16
239,8
240,4
241,4
242,16
243,4
244,1
245,11
246,11
247,5
248,11
249,3
250,4
