individual_id,NMI
1,0.830626692442117
2,0.830626692442117
3,0.830626692442117
4,0.830626692442117
5,0.830626692442117
6,0.830626692442117
7,0.830626692442117
8,0.830626692442117
9,0.830626692442117
10,0.830626692442117
11,0.808894220347878
12,0.830626692442117
13,0.853164349261181
14,0.853164349261181
15,0.853164349261181
16,0.853164349261181
17,0.853164349261181
18,0.853164349261181
19,0.853164349261181
20,0.853164349261181
21,0.853164349261181
22,0.853164349261181
23,0.853164349261181
24,0.853164349261181
25,0.853164349261181
26,0.844453317886728
27,0.844453317886728
28,0.844453317886728
29,0.844453317886728
30,0.844453317886728
31,0.844453317886728
32,0.844453317886728
33,0.850462299661246
34,0.850462299661246
35,0.850462299661246
36,0.82245085772863
37,0.881794847212579
38,0.881794847212579
39,0.881794847212579
40,0.881794847212579
41,0.881794847212579
42,0.881794847212579
43,0.881794847212579
44,0.881794847212579
45,0.881794847212579
46,0.881794847212579
47,0.881794847212579
48,0.881794847212579
49,0.881794847212579
50,0.837766722765639
51,0.837766722765639
52,0.837766722765639
53,0.815663155642947
54,0.815663155642947
55,0.853894361901684
56,0.853894361901684
57,0.853894361901684
58,0.853894361901684
59,0.88981684711813
60,0.88981684711813
61,0.88981684711813
62,0.88981684711813
63,0.88981684711813
64,0.88981684711813
65,0.85781086792251
66,0.867616425913772
67,0.867616425913772
68,0.867616425913772
69,0.867616425913772
70,0.867616425913772
71,0.867616425913772
72,0.867616425913772
73,0.867616425913772
74,0.867616425913772
75,0.867616425913772
76,0.867616425913772
77,0.867616425913772
78,0.867616425913772
79,0.876824165228925
80,0.876824165228925
81,0.876824165228925
82,0.876824165228925
83,0.876824165228925
84,0.876824165228925
85,0.88981684711813
86,0.88981684711813
87,0.88981684711813
88,0.88981684711813
89,0.856235614627403
90,0.856235614627403
91,0.856235614627403
92,0.856235614627403
93,0.856235614627403
94,0.856235614627403
95,0.856235614627403
96,0.856235614627403
97,0.856235614627403
98,0.856235614627403
99,0.88981684711813
100,0.88981684711813
