edge_id,node1,node2
1,34,1
2,78,1
3,103,1
4,159,1
5,187,1
6,189,1
7,41,2
8,67,2
9,86,2
10,157,2
11,181,2
12,197,2
13,105,3
14,107,3
15,122,3
16,132,3
17,139,3
18,199,3
19,76,4
20,234,4
21,239,4
22,243,4
23,244,4
24,249,4
25,19,5
26,43,5
27,56,5
28,84,5
29,144,5
30,174,5
31,21,6
32,65,6
33,149,6
34,160,6
35,161,6
36,239,6
37,60,7
38,64,7
39,117,7
40,119,7
41,152,7
42,233,7
43,76,8
44,87,8
45,114,8
46,148,8
47,163,8
48,175,8
49,15,9
50,59,9
51,129,9
52,156,9
53,210,9
54,27,10
55,116,10
56,129,10
57,171,10
58,193,10
59,210,10
60,12,11
61,146,11
62,158,11
63,170,11
64,203,11
65,206,11
66,57,12
67,99,12
68,156,12
69,171,12
70,210,12
71,39,14
72,143,14
73,180,14
74,191,14
75,193,14
76,196,14
77,97,15
78,137,15
79,140,15
80,187,15
81,189,15
82,28,16
83,36,16
84,86,16
85,131,16
86,197,16
87,234,17
88,241,17
89,243,17
90,244,17
91,245,17
92,249,17
93,65,18
94,83,18
95,98,18
96,100,18
97,126,18
98,225,18
99,32,19
100,77,19
101,135,19
102,174,19
103,245,19
104,66,20
105,88,20
106,101,20
107,127,20
108,246,20
109,51,21
110,55,21
111,136,21
112,184,21
113,232,21
114,38,22
115,72,22
116,82,22
117,124,22
118,168,22
119,180,22
120,63,23
121,66,23
122,88,23
123,101,23
124,127,23
125,184,23
126,81,24
127,95,24
128,123,24
129,170,24
130,203,24
131,206,24
132,50,25
133,64,25
134,117,25
135,126,25
136,152,25
137,162,25
138,32,26
139,56,26
140,61,26
141,128,26
142,135,26
143,174,26
144,59,27
145,99,27
146,208,27
147,210,27
148,211,27
149,44,28
150,131,28
151,157,28
152,181,28
153,197,28
154,220,29
155,234,29
156,241,29
157,243,29
158,244,29
159,249,29
160,74,30
161,97,30
162,118,30
163,154,30
164,179,30
165,192,30
166,185,31
167,202,31
168,212,31
169,214,31
170,220,31
171,228,31
172,135,32
173,144,32
174,174,32
175,183,32
176,58,33
177,239,33
178,241,33
179,243,33
180,244,33
181,249,33
182,67,34
183,86,34
184,131,34
185,181,34
186,197,34
187,36,35
188,46,35
189,124,35
190,133,35
191,168,35
192,250,35
193,45,36
194,81,36
195,124,36
196,133,36
197,87,37
198,98,37
199,163,37
200,172,37
201,175,37
202,241,37
203,131,38
204,157,38
205,181,38
206,197,38
207,237,38
208,40,39
209,61,39
210,135,39
211,144,39
212,174,39
213,179,40
214,202,40
215,212,40
216,214,40
217,220,40
218,60,41
219,108,41
220,117,41
221,119,41
222,162,41
223,58,42
224,142,42
225,150,42
226,179,42
227,192,42
228,197,42
229,56,43
230,61,43
231,109,43
232,144,43
233,174,43
234,226,44
235,232,44
236,233,44
237,236,44
238,237,44
239,72,45
240,124,45
241,133,45
242,168,45
243,208,45
244,82,46
245,124,46
246,134,46
247,138,46
248,168,46
249,97,47
250,142,47
251,150,47
252,154,47
253,161,47
254,245,47
255,225,48
256,227,48
257,231,48
258,232,48
259,233,48
260,237,48
261,142,49
262,147,49
263,179,49
264,192,49
265,221,49
266,242,49
267,60,50
268,108,50
269,152,50
270,162,50
271,211,50
272,102,51
273,149,51
274,160,51
275,161,51
276,244,51
277,130,52
278,165,52
279,177,52
280,191,52
281,193,52
282,196,52
283,120,53
284,121,53
285,148,53
286,173,53
287,178,53
288,183,53
289,195,53
290,57,54
291,76,54
292,105,54
293,107,54
294,122,54
295,139,54
296,148,54
297,82,55
298,85,55
299,89,55
300,136,55
301,160,55
302,161,55
303,61,56
304,64,56
305,144,56
306,174,56
307,116,57
308,134,57
309,156,57
310,171,57
311,210,57
312,145,58
313,147,58
314,150,58
315,179,58
316,192,58
317,99,59
318,156,59
319,171,59
320,210,59
321,227,59
322,111,60
323,152,60
324,162,60
325,204,60
326,135,61
327,144,61
328,211,61
329,108,62
330,136,62
331,186,62
332,194,62
333,200,62
334,204,62
335,207,62
336,66,63
337,88,63
338,101,63
339,127,63
340,222,63
341,246,63
342,108,64
343,117,64
344,119,64
345,162,64
346,80,65
347,100,65
348,110,65
349,112,65
350,241,65
351,88,66
352,101,66
353,127,66
354,199,66
355,72,67
356,157,67
357,181,67
358,197,67
359,202,67
360,143,68
361,164,68
362,165,68
363,191,68
364,193,68
365,196,68
366,240,68
367,105,69
368,173,69
369,178,69
370,183,69
371,195,69
372,219,69
373,141,70
374,148,70
375,173,70
376,178,70
377,183,70
378,195,70
379,236,70
380,165,71
381,167,71
382,186,71
383,194,71
384,200,71
385,204,71
386,207,71
387,81,72
388,82,72
389,124,72
390,168,72
391,120,73
392,155,73
393,176,73
394,177,73
395,190,73
396,198,73
397,239,73
398,180,74
399,182,74
400,202,74
401,212,74
402,214,74
403,220,74
404,96,75
405,98,75
406,114,75
407,163,75
408,172,75
409,175,75
410,237,75
411,107,76
412,122,76
413,132,76
414,139,76
415,105,77
416,107,77
417,122,77
418,132,77
419,139,77
420,217,77
421,93,78
422,103,78
423,159,78
424,187,78
425,189,78
426,228,78
427,215,79
428,243,79
429,245,79
430,246,79
431,247,79
432,248,79
433,250,79
434,83,80
435,91,80
436,100,80
437,110,80
438,112,80
439,126,80
440,82,81
441,133,81
442,168,81
443,209,81
444,133,82
445,168,82
446,110,83
447,112,83
448,126,83
449,173,83
450,224,83
451,186,84
452,194,84
453,200,84
454,204,84
455,207,84
456,241,84
457,89,85
458,102,85
459,149,85
460,161,85
461,227,85
462,243,85
463,157,86
464,181,86
465,197,86
466,233,86
467,114,87
468,134,87
469,149,87
470,172,87
471,175,87
472,101,88
473,127,88
474,136,88
475,133,89
476,136,89
477,149,89
478,160,89
479,161,89
480,120,90
481,155,90
482,176,90
483,177,90
484,190,90
485,198,90
486,231,90
487,100,91
488,110,91
489,112,91
490,126,91
491,164,91
492,188,91
493,111,92
494,115,92
495,164,92
496,191,92
497,193,92
498,196,92
499,234,92
500,137,93
501,140,93
502,159,93
503,173,93
504,187,93
505,189,93
506,151,94
507,169,94
508,180,94
509,184,94
510,188,94
511,210,94
512,214,94
513,97,95
514,128,95
515,170,95
516,203,95
517,206,95
518,223,95
519,102,96
520,134,96
521,163,96
522,172,96
523,175,96
524,220,96
525,118,97
526,179,97
527,192,97
528,114,98
529,134,98
530,163,98
531,172,98
532,116,99
533,129,99
534,171,99
535,190,99
536,210,99
537,110,100
538,112,100
539,126,100
540,209,100
541,127,101
542,147,101
543,168,101
544,136,102
545,149,102
546,160,102
547,161,102
548,203,102
549,137,103
550,140,103
551,159,103
552,187,103
553,189,103
554,217,103
555,145,104
556,151,104
557,169,104
558,180,104
559,184,104
560,188,104
561,192,104
562,247,104
563,122,105
564,132,105
565,139,105
566,146,105
567,123,106
568,128,106
569,146,106
570,158,106
571,170,106
572,203,106
573,206,106
574,222,106
575,122,107
576,132,107
577,139,107
578,177,107
579,117,108
580,119,108
581,152,108
582,162,108
583,156,109
584,216,109
585,223,109
586,225,109
587,226,109
588,227,109
589,236,109
590,112,110
591,126,110
592,235,110
593,127,111
594,143,111
595,164,111
596,165,111
597,191,111
598,196,111
599,126,112
600,235,112
601,114,113
602,182,113
603,185,113
604,202,113
605,212,113
606,214,113
607,220,113
608,247,113
609,134,114
610,172,114
611,175,114
612,164,115
613,165,115
614,191,115
615,193,115
616,196,115
617,239,115
618,240,115
619,129,116
620,156,116
621,171,116
622,210,116
623,229,116
624,119,117
625,152,117
626,250,117
627,147,118
628,150,118
629,154,118
630,179,118
631,233,118
632,242,118
633,152,119
634,162,119
635,242,119
636,155,120
637,176,120
638,177,120
639,190,120
640,198,120
641,215,120
642,141,121
643,148,121
644,173,121
645,178,121
646,183,121
647,195,121
648,213,121
649,228,121
650,132,122
651,139,122
652,230,122
653,146,123
654,153,123
655,158,123
656,170,123
657,174,123
658,203,123
659,206,123
660,133,124
661,139,124
662,168,124
663,166,125
664,167,125
665,181,125
666,186,125
667,194,125
668,197,125
669,200,125
670,204,125
671,207,125
672,137,126
673,194,127
674,146,128
675,158,128
676,170,128
677,203,128
678,206,128
679,228,128
680,156,129
681,169,129
682,171,129
683,210,129
684,248,129
685,153,130
686,182,130
687,185,130
688,202,130
689,212,130
690,214,130
691,215,130
692,220,130
693,157,131
694,181,131
695,197,131
