time_step,NMI
1,0.982903128874122
2,0.99219276521477
3,1
4,0.992870090590361
5,0.986118780761709
6,0.976488091915565
7,0.992160133049424
8,0.986061425885594
9,0.994413370700497
10,0.99333377842888
