edge_id,node1,node2
1,140,1
2,177,1
3,187,1
4,194,1
5,223,1
6,224,1
7,86,2
8,159,2
9,160,2
10,181,2
11,197,2
12,234,2
13,54,3
14,57,3
15,105,3
16,126,3
17,139,3
18,166,3
19,192,4
20,239,4
21,240,4
22,243,4
23,244,4
24,249,4
25,26,5
26,32,5
27,61,5
28,144,5
29,174,5
30,228,5
31,173,6
32,180,6
33,182,6
34,188,6
35,227,6
36,245,6
37,25,7
38,53,7
39,64,7
40,119,7
41,152,7
42,215,7
43,75,8
44,98,8
45,137,8
46,141,8
47,160,8
48,172,8
49,12,9
50,24,9
51,210,9
52,211,9
53,241,9
54,245,9
55,59,10
56,116,10
57,210,10
58,241,10
59,243,10
60,245,10
61,25,11
62,30,11
63,53,11
64,64,11
65,119,11
66,152,11
67,153,12
68,210,12
69,212,12
70,241,12
71,245,12
72,22,13
73,72,13
74,82,13
75,90,13
76,124,13
77,249,13
78,146,14
79,189,14
80,197,14
81,213,14
82,234,14
83,240,14
84,51,15
85,177,15
86,187,15
87,194,15
88,223,15
89,234,15
90,57,16
91,76,16
92,107,16
93,122,16
94,139,16
95,146,16
96,148,17
97,178,17
98,183,17
99,195,17
100,206,17
101,208,17
102,128,18
103,157,18
104,162,18
105,170,18
106,203,18
107,242,18
108,69,19
109,99,19
110,153,19
111,237,19
112,241,19
113,245,19
114,76,20
115,107,20
116,122,20
117,139,20
118,166,20
119,221,20
120,36,21
121,45,21
122,81,21
123,124,21
124,173,21
125,243,21
126,36,22
127,90,22
128,133,22
129,226,22
130,235,22
131,161,23
132,175,23
133,183,23
134,195,23
135,206,23
136,208,23
137,166,24
138,210,24
139,232,24
140,241,24
141,245,24
142,41,25
143,60,25
144,119,25
145,203,25
146,61,26
147,135,26
148,150,26
149,169,26
150,174,26
151,153,27
152,186,27
153,210,27
154,241,27
155,245,27
156,248,27
157,86,28
158,113,28
159,146,28
160,160,28
161,209,28
162,234,28
163,34,29
164,88,29
165,91,29
166,101,29
167,127,29
168,159,29
169,130,30
170,182,30
171,202,30
172,214,30
173,240,30
174,182,31
175,202,31
176,209,31
177,212,31
178,214,31
179,220,31
180,61,32
181,100,32
182,144,32
183,169,32
