node_id,community_id
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,9
11,1
12,9
13,10
14,2
15,11
16,12
17,13
18,1
19,9
20,3
21,10
22,10
23,13
24,9
25,7
26,5
27,9
28,2
29,14
30,15
31,15
32,5
33,1
34,14
35,10
36,10
37,8
38,2
39,5
40,15
41,2
42,16
43,5
44,17
45,10
46,6
47,16
48,17
49,15
50,3
51,17
52,18
53,7
54,12
55,4
56,5
57,12
58,1
59,9
60,7
61,5
62,19
63,15
64,13
65,20
66,21
67,2
68,5
69,6
70,18
71,20
72,10
73,22
74,22
75,8
76,12
77,20
78,11
79,1
80,3
81,10
82,10
83,3
84,7
85,1
86,2
87,8
88,16
89,21
90,10
91,3
92,18
93,11
94,13
95,1
96,8
97,16
98,8
99,9
100,3
101,14
102,16
103,11
104,6
105,12
106,1
107,12
108,4
109,17
110,3
111,18
112,3
113,2
114,8
115,18
116,9
117,16
118,15
119,7
120,1
121,3
122,12
123,1
124,10
125,20
126,11
127,14
128,1
129,2
130,15
131,2
132,20
133,10
134,8
135,5
136,21
137,11
138,15
139,12
140,11
141,8
142,16
143,18
144,5
145,6
146,2
147,18
148,13
149,21
150,16
151,6
152,7
153,9
154,16
155,22
156,9
157,2
158,21
159,14
160,2
161,21
162,1
163,8
164,18
165,18
166,9
167,20
168,10
169,5
170,1
171,9
172,8
173,6
174,5
175,8
176,22
177,11
178,7
179,1
180,6
181,2
182,15
183,9
184,3
185,17
186,17
187,11
188,3
189,2
190,22
191,3
192,16
193,15
194,11
195,2
196,18
197,2
198,22
199,4
200,20
201,4
202,15
203,1
204,7
205,18
206,13
207,20
208,13
209,1
210,9
211,1
212,15
213,17
214,15
215,1
216,17
217,17
218,4
219,4
220,15
221,1
222,21
223,11
224,1
225,17
226,20
227,6
228,4
229,1
230,1
231,18
232,3
233,20
234,2
235,1
236,17
237,17
238,1
239,4
240,4
241,9
242,1
243,4
244,4
245,9
246,1
247,6
248,1
249,4
250,1
