iter_num,NMI
1,0.797881524417537
2,0.871317376493962
3,0.871317376493962
4,0.871317376493962
5,0.871317376493962
6,0.871317376493962
7,0.871317376493962
8,0.871317376493962
9,0.871317376493962
10,0.871317376493962
11,0.871317376493962
12,0.871317376493962
13,0.871317376493962
14,0.871317376493962
15,0.871317376493962
16,0.871317376493962
17,0.871317376493962
18,0.871317376493962
19,0.871317376493962
20,0.871317376493962
21,0.871317376493962
22,0.871317376493962
23,0.871317376493962
24,0.871317376493962
25,0.871317376493962
26,0.871317376493962
27,0.871317376493962
28,0.871317376493962
29,0.871317376493962
30,0.871317376493962
31,0.871317376493962
32,0.871317376493962
33,0.871317376493962
34,0.871317376493962
35,0.871317376493962
36,0.871317376493962
37,0.871317376493962
38,0.871317376493962
39,0.871317376493962
40,0.871317376493962
41,0.871317376493962
42,0.871317376493962
43,0.871317376493962
44,0.871317376493962
45,0.871317376493962
46,0.871317376493962
47,0.871317376493962
48,0.871317376493962
49,0.871317376493962
50,0.871317376493962
51,0.871317376493962
52,0.871317376493962
53,0.871317376493962
54,0.871317376493962
55,0.871317376493962
56,0.871317376493962
57,0.871317376493962
58,0.871317376493962
59,0.871317376493962
60,0.871317376493962
61,0.871317376493962
62,0.871317376493962
63,0.871317376493962
64,0.871317376493962
65,0.871317376493962
66,0.871317376493962
67,0.871317376493962
68,0.871317376493962
69,0.871317376493962
70,0.871317376493962
71,0.871317376493962
72,0.871317376493962
73,0.871317376493962
74,0.871317376493962
75,0.871317376493962
76,0.871317376493962
77,0.871317376493962
78,0.871317376493962
79,0.871317376493962
80,0.871317376493962
81,0.871317376493962
82,0.871317376493962
83,0.871317376493962
84,0.871317376493962
85,0.871317376493962
86,0.871317376493962
87,0.871317376493962
88,0.871317376493962
89,0.871317376493962
90,0.871317376493962
91,0.871317376493962
92,0.871317376493962
93,0.871317376493962
94,0.871317376493962
95,0.871317376493962
96,0.871317376493962
97,0.871317376493962
98,0.871317376493962
99,0.871317376493962
100,0.871317376493962
