edge_id,node1,node2
1,103,1
2,177,1
3,187,1
4,194,1
5,215,1
6,223,1
7,14,2
8,29,2
9,129,2
10,181,2
11,197,2
12,234,2
13,16,3
14,76,3
15,107,3
16,122,3
17,132,3
18,199,3
19,97,4
20,239,4
21,240,4
22,243,4
23,244,4
24,249,4
25,32,5
26,56,5
27,90,5
28,135,5
29,174,5
30,216,5
31,162,6
32,166,6
33,169,6
34,173,6
35,188,6
36,227,6
37,11,7
38,64,7
39,108,7
40,117,7
41,129,7
42,162,7
43,45,8
44,87,8
45,172,8
46,175,8
47,208,8
48,232,8
49,24,9
50,156,9
51,169,9
52,171,9
53,241,9
54,245,9
55,24,10
56,153,10
57,156,10
58,175,10
59,241,10
60,245,10
61,117,11
62,119,11
63,152,11
64,162,11
65,193,11
66,63,12
67,166,12
68,171,12
69,210,12
70,245,12
71,249,12
72,34,13
73,35,13
74,36,13
75,46,13
76,82,13
77,133,13
78,189,14
79,197,14
80,203,14
81,222,14
82,234,14
83,33,15
84,177,15
85,187,15
86,194,15
87,223,15
88,225,15
89,54,16
90,57,16
91,122,16
92,132,16
93,233,16
94,216,17
95,239,17
96,240,17
97,243,17
98,244,17
99,249,17
100,123,18
101,140,18
102,170,18
103,176,18
104,203,18
105,206,18
106,80,19
107,116,19
108,153,19
109,158,19
110,241,19
111,245,19
112,66,20
113,88,20
114,101,20
115,127,20
116,144,20
117,159,20
118,26,21
119,32,21
120,111,21
121,144,21
122,194,21
123,238,21
124,25,22
125,72,22
126,81,22
127,133,22
128,168,22
129,239,22
130,46,23
131,178,23
132,183,23
133,195,23
134,208,23
135,210,23
136,57,24
137,193,24
138,241,24
139,245,24
140,53,25
141,60,25
142,84,25
143,152,25
144,200,25
145,56,26
146,135,26
147,144,26
148,174,26
149,250,26
150,153,27
151,183,27
152,210,27
153,215,27
154,241,27
155,245,27
156,67,28
157,120,28
158,181,28
159,189,28
160,197,28
161,234,28
162,239,29
163,240,29
164,243,29
165,244,29
166,249,29
167,93,30
168,182,30
169,185,30
170,212,30
171,214,30
172,242,30
173,182,31
174,202,31
175,212,31
176,214,31
177,220,31
178,236,31
179,43,32
180,61,32
181,94,32
182,174,32
183,239,33
184,240,33
185,243,33
186,244,33
187,249,33
188,66,34
189,88,34
190,101,34
191,127,34
192,159,34
193,72,35
194,81,35
195,124,35
196,168,35
197,180,35
198,45,36
199,124,36
200,125,36
201,133,36
202,168,36
203,114,37
204,134,37
205,141,37
206,163,37
207,208,37
208,217,37
209,50,38
210,86,38
211,98,38
212,131,38
213,181,38
214,234,38
215,56,39
216,61,39
217,90,39
218,132,39
219,174,39
220,218,39
221,81,40
222,185,40
223,202,40
224,212,40
225,214,40
226,220,40
227,53,41
228,64,41
229,117,41
230,119,41
231,162,41
232,228,41
233,60,42
234,142,42
235,150,42
236,154,42
237,179,42
238,192,42
239,61,43
240,135,43
241,144,43
242,174,43
243,179,43
244,191,44
245,225,44
246,226,44
247,232,44
248,236,44
249,237,44
250,46,45
251,82,45
252,124,45
253,168,45
254,124,46
255,223,46
256,244,46
257,142,47
258,154,47
259,156,47
260,179,47
261,181,47
262,192,47
263,196,48
264,225,48
265,226,48
266,232,48
267,236,48
268,237,48
269,138,49
270,185,49
271,189,49
272,202,49
273,220,49
274,235,49
275,100,50
276,110,50
277,112,50
278,121,50
279,191,50
280,89,51
281,149,51
282,151,51
283,160,51
284,161,51
285,222,51
286,92,52
287,164,52
288,178,52
289,193,52
290,205,52
291,231,52
292,84,53
293,117,53
294,152,53
295,162,53
296,203,53
297,76,54
298,105,54
299,122,54
300,132,54
301,185,54
302,238,54
303,180,55
304,218,55
305,239,55
306,240,55
307,243,55
308,244,55
309,249,55
310,144,56
311,174,56
312,186,56
313,221,56
314,105,57
315,107,57
316,122,57
317,132,57
318,241,57
319,95,58
320,113,58
321,144,58
322,146,58
323,170,58
324,203,58
325,206,58
326,99,59
327,122,59
328,156,59
329,171,59
330,210,59
331,241,59
332,245,59
333,108,60
334,117,60
335,152,60
336,162,60
337,172,60
338,90,61
339,127,61
340,135,61
341,144,61
342,94,62
343,167,62
344,182,62
345,200,62
346,204,62
347,207,62
348,233,62
349,117,63
350,155,63
351,166,63
352,210,63
353,241,63
354,245,63
355,84,64
356,108,64
357,119,64
358,152,64
359,214,64
360,167,65
361,181,65
362,200,65
363,204,65
364,207,65
365,233,65
366,248,65
367,88,66
368,96,66
369,101,66
370,127,66
371,159,66
372,131,67
373,157,67
374,166,67
375,181,67
376,234,67
377,237,67
378,70,68
379,85,68
380,143,68
381,165,68
382,193,68
383,196,68
384,205,68
385,169,69
386,173,69
387,180,69
388,188,69
389,227,69
390,237,69
391,250,69
392,143,70
393,176,70
394,193,70
395,196,70
396,205,70
397,246,70
398,125,71
399,167,71
400,200,71
401,204,71
402,207,71
403,233,71
404,82,72
405,124,72
406,133,72
407,168,72
408,242,72
409,120,73
410,155,73
411,176,73
412,184,73
413,190,73
414,198,73
415,206,73
416,130,74
417,174,74
